,Municipio,Temperatura_media,Latitude,Longitude
0,guarda mor,23.35666901905434,-17.56138888,-47.19916666
1,corumba,26.282202527967456,-18.99666666,-57.63749999
2,vila velha,23.50462830876526,-20.46694443,-40.40388888
3,tupa,23.50629761904762,-21.927251,-50.490251
4,rio brilhante,23.428128292169028,-21.774944,-54.528108
5,picos,32.09958158995816,-7.0711111,-41.40416666
6,marilia,22.36222602739726,-22.235222,-49.965111
7,passos,21.37078444904532,-20.745237,-46.633916
8,primavera do leste,23.824296296296296,-15.57999999,-54.3811111
9,parque estadual chandless,24.766923166608372,-9.35833333,-69.92638888
10,sete lagoas,21.954102054340623,-19.45527777,-44.17333332
12,laguna carapa,25.037914979757087,-22.575389,-55.160333
13,natal,28.133138686131385,-5.83722221,-35.20805555
15,itapora,23.536476683937824,-22.092833,-54.798833
16,sao miguel do oeste,19.408411333164683,-26.7861111,-53.51388888
17,rancho queimado,15.540288263555253,-27.6786111,-49.04194444
18,recife,25.736551450139057,-8.05916666,-34.95916666
19,sao carlos,21.156081390032007,-21.980353,-47.883927
21,costa rica,23.246186343914136,-18.49277777,-53.17138888
24,lagoa vermelha,16.96355345185869,-28.222381,-51.512845
25,sao felix do xingu,26.17786547700755,-6.639622,-51.956966
26,vitoria,23.790961187809327,-20.27083332,-40.30583333
27,senhor do bonfim,23.887721893491126,-10.44305555,-40.14833333
29,vilhena,24.43662052396751,-12.73499999,-60.15777777
30,passa quatro,18.818664383561643,-22.395799,-44.961909
31,salinopolis,27.898709677419355,-0.61888888,-47.35666666
32,itumbiara,26.344614443084456,-18.40972222,-49.19194444
33,colombo,16.790388125076046,-25.322464,-49.157733
36,rondon do para,25.120607734806633,-4.82749999,-48.1736111
38,arco verde,27.120211515863687,-8.4336111,-37.05555555
39,laguna farol de santa marta,23.289681742043552,-28.60444444,-48.81333333
40,uberlandia,23.536377280073886,-18.91694443,-48.25555555
41,fortaleza,27.610147939845945,-3.81583333,-38.53777777
42,sao miguel arcanjo,18.96575837163493,-23.85194444,-48.16472222
