,Municipio,Novos_casos,Populacao_estimada,id,Latitude,Longitude,Relacao_perc_pop_covid
0,abadia de goias,1238,9158,5200050,-16.7584,-49.4383,13.5182
1,abadia dos dourados,491,7022,3100104,-18.4911191,-47.4063589,6.9923
2,abadiania,412,20873,5200100,-16.1940946,-48.7067767,1.9738
3,abaete,1411,23263,3100203,-19.1566833,-45.4481213,6.0654
4,abaetetuba,4805,160439,1500107,-1.721828,-48.878843,2.9949
5,abaiara,481,11965,2300101,-7.3607808,-39.0487878,4.0201
6,abaira,158,8681,2900108,-13.2502696,-41.6639913,1.8201
7,abare,1082,20594,2900207,-8.7239913,-39.1139689,5.254
8,abatia,1087,7360,4100103,-23.3052967,-50.3102532,14.769
9,abdon batista,256,2534,4200051,-27.612419,-51.022992,10.1026
10,abel figueiredo,673,7536,1500131,-4.953001,-48.3958485,8.9305
11,abelardo luz,1337,18015,4200101,-26.5705893,-52.3280339,7.4216
12,abre campo,1092,13434,3100302,-20.295421,-42.480131,8.1286
13,abreu e lima,2544,100698,2600054,-7.900719,-34.898389,2.5264
14,abreulandia,230,2609,1700251,-9.6221526,-49.1558343,8.8156
15,acaiaca,158,3995,3100401,-20.3621646,-43.1444162,3.9549
16,acailandia,2243,113783,2100055,-4.9515026,-47.500732,1.9713
17,acajutiba,340,15214,2900306,-11.6609659,-38.0186381,2.2348
18,acara,928,55744,1500206,-3.6209617,-62.3797867,1.6648
19,acarape,882,15140,2300150,-4.2237866,-38.7071663,5.8256
20,acarau,2614,63556,2300200,-2.8869514,-40.1194713,4.1129
21,acari,873,11106,2400109,-22.8221528,-43.3406743,7.8606
22,acaua,127,7119,2200053,-8.219542,-41.083059,1.784
23,acegua,358,4981,4300034,-31.8695131,-54.1615593,7.1873
24,acopiara,2760,54687,2300309,-6.0936464,-39.4543204,5.0469
25,acorizal,600,5309,5100102,-15.2001544,-56.3668953,11.3016
26,acrelandia,1235,15721,1200013,-10.0759167,-67.0526898,7.8557
27,acreuna,2236,22710,5200134,-17.3959899,-50.3749031,9.8459
28,acu,4940,58743,2400208,-3.3537861,-60.4483111,8.4095
29,acucena,649,9270,3100500,-19.073056,-42.546666,7.0011
30,adamantina,3492,35153,3500105,-21.6866517,-51.0762975,9.9337
31,adelandia,146,2515,5200159,-16.4155077,-50.1665834,5.8052
32,adolfo,474,3545,3500204,-21.2356597,-49.6441918,13.3709
33,adrianopolis,987,5797,4100202,-24.6557863,-48.9912769,17.026
34,adustina,952,17209,2900355,-10.5358875,-38.114479,5.532
35,afogados da ingazeira,3485,37546,2600104,-7.7481283,-37.6346614,9.2819
36,afonso bezerra,623,11024,2400307,-5.4745,-36.57625071327935,5.6513
37,afonso claudio,2612,30326,3200102,-20.0744817,-41.1251335,8.6131
38,afonso cunha,115,6631,2100105,-4.1326105,-43.3230026,1.7343
39,afranio,641,19981,2600203,-8.5198919,-41.0070197,3.208
40,afua,703,39910,1500305,-0.1573523,-50.3908023,1.7615
41,agrestina,1105,25240,2600302,-8.4558021,-35.9442663,4.378
42,agricolandia,710,5123,2200103,-5.7967843,-42.6605131,13.8591
43,agrolandia,1379,11160,4200200,-27.4120688,-49.8294621,12.3566
44,agronomica,477,5570,4200309,-27.2660744,-49.7104753,8.5637
45,agua azul do norte,431,27797,1500347,-6.8064885,-50.4849667,1.5505
46,agua boa,3370,26679,3100609,-17.9956411,-42.3899261,12.6317
47,agua boa,3370,26679,5100201,-17.9956411,-42.3899261,12.6317
48,agua branca,1702,20263,2200202,-5.8913922,-42.6361148,8.3995
49,agua branca,1702,20263,2500106,-5.8913922,-42.6361148,8.3995
50,agua branca,1702,20263,2700102,-5.8913922,-42.6361148,8.3995
51,agua clara,2374,16025,5000203,-20.4385757,-52.8797496,14.8144
52,agua comprida,175,1986,3100708,-20.0574733,-48.1093074,8.8117
53,agua doce,1047,7160,4200408,-26.9986047,-51.5529306,14.6229
54,agua doce do maranhao,32,12731,2100154,-2.8402004,-42.1181949,0.2514
55,agua doce do norte,671,10801,3200169,-18.54822,-40.979012,6.2124
56,agua fria,124,17096,2900405,-11.8784691,-38.7663706,0.7253
57,agua fria de goias,353,5843,5200175,-14.9803368,-47.7824312,6.0414
58,agua limpa,190,1809,5200209,-18.0755648,-48.7620637,10.503
59,agua nova,131,3293,2400406,-6.2063221,-38.2912678,3.9781
60,agua preta,524,37386,2600401,-8.7079109,-35.5198586,1.4016
61,agua santa,365,3738,4300059,-28.1775297,-52.0360304,9.7646
62,aguai,3095,36981,3500303,-22.0592036,-46.979384,8.3692
63,aguanil,566,4557,3100807,-20.9424533,-45.3927152,12.4205
64,aguas belas,1105,43923,2600500,-9.1113156,-37.1225218,2.5158
65,aguas da prata,580,8262,3500402,-21.9464285,-46.7192121,7.0201
66,aguas de chapeco,559,6544,4200507,-27.0741119,-52.9879048,8.5422
67,aguas de lindoia,1804,18908,3500501,-22.4718855,-46.6291034,9.5409
68,aguas de santa barbara,559,6142,3500550,-22.8821912,-49.2383956,9.1013
69,aguas de sao pedro,378,3588,3500600,-22.6000681,-47.8750887,10.5351
70,aguas formosas,772,19285,3100906,-17.083056,-40.935555,4.0031
71,aguas frias,420,2341,4200556,-26.8817187,-52.8599756,17.9411
72,aguas lindas de goias,5254,222850,5200258,-15.7392283,-48.2793357,2.3576
73,aguas mornas,322,6646,4200606,-27.696316,-48.8247831,4.845
74,aguas vermelhas,335,13656,3101003,-15.7469091,-41.4601975,2.4531
75,agudo,1790,16344,4300109,-29.6423259,-53.2494005,10.952
76,agudos,3756,37582,3500709,-22.4719836,-48.9884476,9.9941
77,agudos do sul,783,9567,4100301,-25.9890808,-49.3328175,8.1844
78,aguia branca,1318,9621,3200136,-18.9847265,-40.7391844,13.6992
79,aguiar,494,5622,2500205,-7.0928404,-38.1727215,8.7869
80,aguiarnopolis,253,7049,1700301,-6.5600452,-47.4721189,3.5892
81,aimores,1468,25116,3101102,-19.4917754,-41.0615603,5.8449
82,aiquara,164,4387,2900603,-14.126918,-39.8887574,3.7383
83,aiuaba,768,17584,2300408,-6.5710836,-40.1212278,4.3676
84,aiuruoca,326,5949,3101201,-21.9759554,-44.6036637,5.4799
85,ajuricaba,1203,6951,4300208,-28.239654,-53.7693013,17.3069
86,alagoa,358,2657,3101300,-22.1697202,-44.6400042,13.4738
87,alagoa grande,2567,28384,2500304,-7.0415212,-35.6285322,9.0438
88,alagoa nova,1473,20992,2500403,-7.06434685,-35.775842051108256,7.017
89,alagoinha,2184,14798,2500502,-8.4663372,-36.7748832,14.7588
90,alagoinha,2184,14798,2600609,-8.4663372,-36.7748832,14.7588
91,alagoinha do piaui,241,7678,2200251,-7.0090952,-40.939675,3.1388
92,alagoinhas,7928,153023,2900702,-12.133526,-38.420772,5.1809
93,alambari,556,6231,3500758,-23.550338,-47.897971,8.9231
94,albertina,210,3015,3101409,-22.200556,-46.615556,6.9652
95,alcantara,134,22126,2100204,-2.4084996,-44.4174143,0.6056
96,alcantaras,1240,11846,2300507,-3.586247,-40.5457641,10.4677
97,alcantil,628,5527,2500536,-7.7425491,-36.0609604,11.3624
98,alcinopolis,372,5489,5000252,-18.3264121,-53.7094463,6.7772
99,alcobaca,940,22509,2900801,-17.5215875,-39.1965474,4.1761
100,aldeias altas,30,26979,2100303,-4.6291957,-43.4708622,0.1112
101,alecrim,257,5710,4300307,-27.6566142,-54.7653195,4.5009
102,alegre,2688,29869,3200201,-20.7625787,-41.5318886,8.9993
103,alegrete,9101,72493,4300406,-29.790166,-55.794862,12.5543
104,alegrete do piaui,181,4921,2200277,-7.2440138,-40.8602296,3.6781
105,alegria,224,3287,4300455,-27.8332103,-54.0574959,6.8147
106,alem paraiba,2818,35438,3101508,-21.8760576,-42.6810473,7.9519
107,alenquer,2302,57390,1500404,-1.946229,-54.738355,4.0112
108,alexandria,1570,13529,2400505,-6.414779,-38.0135516,11.6047
109,alexania,2691,28360,5200308,-16.0834049,-48.5077803,9.4887
110,alfenas,8957,80973,3101607,-21.4297405,-45.9479419,11.0617
111,alfredo chaves,1501,14670,3200300,-28.9351239,-51.5519175,10.2318
112,alfredo marcondes,180,4201,3500808,-21.9527,-51.413956,4.2847
113,alfredo vasconcelos,562,7052,3101631,-21.145833,-43.776389,7.9694
114,alfredo wagner,677,10136,4200705,-27.6961513,-49.3326734,6.6792
115,algodao de jandaira,289,2588,2500577,-6.9040175,-36.0089879,11.1669
116,alhandra,1754,19865,2500601,-7.4304246,-34.9106103,8.8296
117,alianca,647,38408,2600708,-7.6026425,-35.2263514,1.6845
118,alianca do tocantins,666,5303,1700350,-11.3055927,-48.9409096,12.5589
